benchmark,scaling_param_name,scaling_param_value,non_scaling_json,kernel_ms_mean,n_reps
cache_bandwidth,working_set_bytes,1024,"{""mode"":""private""}",4.795786,7
cache_bandwidth,working_set_bytes,2048,"{""mode"":""private""}",2.404608,7
cache_bandwidth,working_set_bytes,4096,"{""mode"":""private""}",1.210087,7
cache_bandwidth,working_set_bytes,8192,"{""mode"":""private""}",0.628726,7
cache_bandwidth,working_set_bytes,16384,"{""mode"":""private""}",0.33572,7
cache_bandwidth,working_set_bytes,32768,"{""mode"":""private""}",0.295589,7
cache_bandwidth,working_set_bytes,65536,"{""mode"":""private""}",0.444251,7
cache_bandwidth,working_set_bytes,131072,"{""mode"":""private""}",1.271392,7
cache_bandwidth,working_set_bytes,262144,"{""mode"":""private""}",1.9774,7
cache_bandwidth,working_set_bytes,524288,"{""mode"":""private""}",1.96684,7
cache_bandwidth,working_set_bytes,1048576,"{""mode"":""private""}",2.006782,7
cache_bandwidth,working_set_bytes,2097152,"{""mode"":""private""}",2.158584,7
cache_bandwidth,working_set_bytes,4194304,"{""mode"":""private""}",2.135732,7
cache_bandwidth,working_set_bytes,8388608,"{""mode"":""private""}",2.105647,7
cache_bandwidth,working_set_bytes,16777216,"{""mode"":""private""}",3.103611,7
cache_bandwidth,working_set_bytes,33554432,"{""mode"":""private""}",5.543777,7
cache_bandwidth,working_set_bytes,67108864,"{""mode"":""private""}",8.982475,7
cache_bandwidth,working_set_bytes,134217728,"{""mode"":""private""}",11.297717,7
cache_bandwidth,working_set_bytes,268435456,"{""mode"":""private""}",21.050886,7
cache_bandwidth,working_set_bytes,536870912,"{""mode"":""private""}",41.072894,7
cache_bandwidth,working_set_bytes,1073741824,"{""mode"":""private""}",80.331975,7
cache_bandwidth,working_set_bytes,1024,"{""mode"":""shared""}",0.818586,7
cache_bandwidth,working_set_bytes,2048,"{""mode"":""shared""}",0.420508,7
cache_bandwidth,working_set_bytes,4096,"{""mode"":""shared""}",0.409623,7
cache_bandwidth,working_set_bytes,8192,"{""mode"":""shared""}",0.311445,7
cache_bandwidth,working_set_bytes,16384,"{""mode"":""shared""}",0.298446,7
cache_bandwidth,working_set_bytes,32768,"{""mode"":""shared""}",0.299506,7
cache_bandwidth,working_set_bytes,65536,"{""mode"":""shared""}",0.295737,7
cache_bandwidth,working_set_bytes,131072,"{""mode"":""shared""}",0.29116,7
cache_bandwidth,working_set_bytes,262144,"{""mode"":""shared""}",0.281824,7
cache_bandwidth,working_set_bytes,524288,"{""mode"":""shared""}",0.264795,7
cache_bandwidth,working_set_bytes,1048576,"{""mode"":""shared""}",0.264561,7
cache_bandwidth,working_set_bytes,2097152,"{""mode"":""shared""}",0.394343,7
cache_bandwidth,working_set_bytes,4194304,"{""mode"":""shared""}",0.788009,7
cache_bandwidth,working_set_bytes,8388608,"{""mode"":""shared""}",1.715238,7
cache_bandwidth,working_set_bytes,16777216,"{""mode"":""shared""}",3.425147,7
cache_bandwidth,working_set_bytes,33554432,"{""mode"":""shared""}",6.845392,7
cache_bandwidth,working_set_bytes,67108864,"{""mode"":""shared""}",13.701199,7
cache_bandwidth,working_set_bytes,134217728,"{""mode"":""shared""}",27.437381,7
