benchmark,scaling_param_name,scaling_param_value,non_scaling_json,kernel_ms_mean,n_reps
altis_cfd,size,500,"{""block_size"":256,""precision"":""float""}",0.025473,3
altis_cfd,size,750,"{""block_size"":256,""precision"":""float""}",0.025245,3
altis_cfd,size,1000,"{""block_size"":256,""precision"":""float""}",0.025512,3
altis_cfd,size,1500,"{""block_size"":256,""precision"":""float""}",0.025926,3
altis_cfd,size,2000,"{""block_size"":256,""precision"":""float""}",0.031365,3
altis_cfd,size,3000,"{""block_size"":256,""precision"":""float""}",0.031526,3
altis_cfd,size,5000,"{""block_size"":256,""precision"":""float""}",0.029107,3
altis_cfd,size,7500,"{""block_size"":256,""precision"":""float""}",0.029443,3
altis_cfd,size,10000,"{""block_size"":256,""precision"":""float""}",0.029869,3
altis_cfd,size,15000,"{""block_size"":256,""precision"":""float""}",0.03309,3
altis_cfd,size,20000,"{""block_size"":256,""precision"":""float""}",0.031352,3
altis_cfd,size,30000,"{""block_size"":256,""precision"":""float""}",0.035761,3
altis_cfd,size,50000,"{""block_size"":256,""precision"":""float""}",0.050624,3
altis_cfd,size,75000,"{""block_size"":256,""precision"":""float""}",0.065071,3
altis_cfd,size,100000,"{""block_size"":256,""precision"":""float""}",0.082152,3
altis_cfd,size,150000,"{""block_size"":256,""precision"":""float""}",0.100835,3
altis_cfd,size,200000,"{""block_size"":256,""precision"":""float""}",0.128409,3
altis_cfd,size,300000,"{""block_size"":256,""precision"":""float""}",0.228436,3
altis_cfd,size,500000,"{""block_size"":256,""precision"":""float""}",0.443765,3
altis_cfd,size,750000,"{""block_size"":256,""precision"":""float""}",0.740163,3
altis_cfd,size,1000000,"{""block_size"":256,""precision"":""float""}",1.032419,3
altis_cfd,size,1500000,"{""block_size"":256,""precision"":""float""}",1.618316,3
altis_cfd,size,2000000,"{""block_size"":256,""precision"":""float""}",2.194944,3
altis_cfd,size,3000000,"{""block_size"":256,""precision"":""float""}",3.363804,3
altis_cfd,size,5000000,"{""block_size"":256,""precision"":""float""}",5.727128,3
altis_cfd,size,7500000,"{""block_size"":256,""precision"":""float""}",8.627799,3
altis_cfd,size,10000000,"{""block_size"":256,""precision"":""float""}",11.571641,3
altis_gups,table_size,65536,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",0.267887,3
altis_gups,table_size,81920,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",0.26697,3
altis_gups,table_size,98304,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",0.267337,3
altis_gups,table_size,131072,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",0.268967,3
altis_gups,table_size,163840,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",0.268889,3
altis_gups,table_size,196608,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",0.269566,3
altis_gups,table_size,262144,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",0.269902,3
altis_gups,table_size,327680,"{""block_size"":256,""num_threads"":65536,""num_updates"":128}",0.270701,3
