kernel_name,problem_size,real_ms,sim_ms,abs_error_ms,rel_error
atax,1024x1024,0.580400,,,
atax,12288x12288,9.763700,,,
atax,128x128,0.047900,,,
atax,1536x1536,0.923500,,,
atax,16384x16384,13.131500,,,
atax,192x192,0.075800,,,
atax,2048x2048,1.311200,,,
atax,24576x24576,19.898600,,,
atax,256x256,0.150400,,,
atax,3072x3072,2.011900,,,
atax,32768x32768,26.851100,,,
atax,384x384,0.209200,,,
atax,4096x4096,2.649500,,,
atax,48x48,0.024200,,,
atax,512x512,0.269100,,,
atax,6144x6144,4.006300,,,
atax,64x64,0.029300,,,
atax,768x768,0.432300,,,
atax,8192x8192,5.986000,,,
atax,96x96,0.044000,,,
bfs,nodes1024,0.191800,,,
bfs,nodes16384,0.247975,,,
bfs,nodes262144,0.576425,,,
bfs,nodes4096,0.210875,,,
bfs,nodes65536,0.346775,,,
bicg,1024x1024,0.562300,,,
bicg,12288x12288,9.844300,,,
bicg,128x128,0.047000,,,
bicg,1536x1536,0.911200,,,
bicg,16384x16384,13.141300,,,
bicg,192x192,0.066500,,,
bicg,2048x2048,1.302700,,,
bicg,24576x24576,19.858700,,,
bicg,256x256,0.127400,,,
bicg,3072x3072,2.004400,,,
bicg,32768x32768,45.028600,,,
bicg,384x384,0.196300,,,
bicg,4096x4096,2.654600,,,
bicg,48x48,0.019300,,,
bicg,512x512,0.268900,,,
bicg,6144x6144,4.357600,,,
bicg,64x64,0.024500,,,
bicg,768x768,0.419600,,,
bicg,8192x8192,5.991500,,,
bicg,96x96,0.034200,,,
bitonicsort,1024,0.223800,,,
bitonicsort,1048576,1.846200,,,
bitonicsort,131072,0.516900,,,
bitonicsort,16384,0.354900,,,
bitonicsort,16777216,29.398500,,,
bitonicsort,2048,0.172800,,,
bitonicsort,2097152,3.238300,,,
bitonicsort,262144,0.680800,,,
bitonicsort,32768,0.518500,,,
bitonicsort,4096,0.232600,,,
bitonicsort,4194304,5.819900,,,
bitonicsort,524288,0.993200,,,
bitonicsort,65536,0.397200,,,
bitonicsort,8192,0.403500,,,
bitonicsort,8388608,10.920200,,,
conv2d,N1_C1_128x128_k3x3_OC3,0.010800,,,
conv2d,N1_C1_128x128_k7x7_OC3,0.032500,,,
conv2d,N1_C1_16x16_k3x3_OC3,0.009400,,,
conv2d,N1_C1_16x16_k5x5_OC3,0.013800,,,
conv2d,N1_C1_16x16_k7x7_OC3,0.021400,,,
conv2d,N1_C1_32x32_k3x3_OC3,0.009300,,,
conv2d,N1_C1_32x32_k5x5_OC3,0.014300,,,
conv2d,N1_C1_32x32_k7x7_OC3,0.022800,,,
conv2d,N1_C1_64x64_k3x3_OC3,0.009800,,,
conv2d,N1_C1_64x64_k5x5_OC3,0.015000,,,
conv2d,N1_C1_64x64_k7x7_OC3,0.023100,,,
conv2d,N1_C1_8x8_k3x3_OC3,0.011800,,,
conv2d,N1_C1_8x8_k5x5_OC3,0.013000,,,
conv2d,N1_C1_8x8_k7x7_OC3,0.019400,,,
fastwalshtransform,1024,0.082400,,,
fastwalshtransform,1048576,0.238600,,,
fastwalshtransform,131072,0.231100,,,
fastwalshtransform,134217728,26.811100,,,
fastwalshtransform,16384,0.087000,,,
fastwalshtransform,16777216,10.539400,,,
fastwalshtransform,2048,0.107700,,,
fastwalshtransform,2097152,0.380500,,,
fastwalshtransform,262144,0.410000,,,
fastwalshtransform,268435456,48.785500,,,
fastwalshtransform,32768,0.126200,,,
fastwalshtransform,33554432,12.492300,,,
fastwalshtransform,4096,0.058000,,,
fastwalshtransform,4194304,0.683800,,,
fastwalshtransform,512,0.046800,,,
fastwalshtransform,524288,0.145000,,,
fastwalshtransform,65536,0.167500,,,
fastwalshtransform,67108864,17.290200,,,
fastwalshtransform,8192,0.092400,,,
fastwalshtransform,8388608,1.341700,,,
fft1D_512,1024_elements,0.009800,,,
fft1D_512,1048576_elements,0.017600,,,
fft1D_512,131072_elements,0.008300,,,
fft1D_512,134217728_elements,0.651500,,,
fft1D_512,16384_elements,0.011600,,,
fft1D_512,16777216_elements,0.091800,,,
fft1D_512,2048_elements,0.011100,,,
fft1D_512,2097152_elements,0.024500,,,
fft1D_512,262144_elements,0.009200,,,
fft1D_512,32768_elements,0.009900,,,
fft1D_512,33554432_elements,0.169800,,,
fft1D_512,4096_elements,0.010900,,,
fft1D_512,4194304_elements,0.031700,,,
fft1D_512,512_elements,0.011700,,,
fft1D_512,524288_elements,0.012600,,,
fft1D_512,65536_elements,0.008900,,,
fft1D_512,67108864_elements,0.326700,,,
fft1D_512,8192_elements,0.011500,,,
fft1D_512,8388608_elements,0.052900,,,
fir,1024_taps16,0.005600,0.005015,0.000585,-0.116650
fir,1024_taps32,0.007000,,,
fir,1024_taps64,0.009800,,,
fir,1024_taps8,0.005000,,,
fir,16384_taps16,0.006900,,,
fir,16384_taps32,0.007300,,,
fir,16384_taps64,0.013500,,,
fir,16384_taps8,0.005500,,,
fir,262144_taps16,0.006200,,,
fir,262144_taps32,0.009000,,,
fir,262144_taps64,0.012400,,,
fir,262144_taps8,0.006600,,,
fir,4096_taps16,0.005600,,,
fir,4096_taps32,0.008200,,,
fir,4096_taps64,0.010500,,,
fir,4096_taps8,0.006100,,,
fir,65536_taps16,0.006100,,,
fir,65536_taps32,0.007100,,,
fir,65536_taps64,0.010000,,,
fir,65536_taps8,0.005200,,,
floydwarshall,1024_nodes,10.293400,,,
floydwarshall,1280_nodes,18.339600,,,
floydwarshall,128_nodes,0.601600,,,
floydwarshall,1536_nodes,30.545300,,,
floydwarshall,160_nodes,0.386800,,,
floydwarshall,16_nodes,0.096000,,,
floydwarshall,192_nodes,0.445200,,,
