kernel_name,problem_size,real_ms,sim_ms,abs_error_ms,rel_error
atax,1024x1024,0.580500,,,
atax,12288x12288,9.845300,,,
atax,128x128,0.055100,0.037236,0.017864,-0.479751
atax,1536x1536,0.929100,,,
atax,16384x16384,13.121900,,,
atax,192x192,0.073400,0.065053,0.008347,-0.128311
atax,2048x2048,1.312800,,,
atax,24576x24576,20.192000,,,
atax,256x256,0.127700,0.102108,0.025592,-0.250637
atax,3072x3072,1.986400,,,
atax,32768x32768,27.429800,,,
atax,384x384,0.217400,0.147437,0.069963,-0.474528
atax,4096x4096,2.648100,,,
atax,48x48,0.023500,0.016216,0.007284,-0.449186
atax,512x512,0.289300,0.240162,0.049138,-0.204604
atax,6144x6144,3.981800,,,
atax,64x64,0.029000,0.018934,0.010066,-0.531636
atax,768x768,0.426900,0.297438,0.129462,-0.435257
atax,8192x8192,5.904800,,,
atax,96x96,0.041000,0.024372,0.016628,-0.682258
bfs,nodes1024,0.222100,,,
bfs,nodes16384,0.292350,,,
bfs,nodes262144,0.479400,,,
bfs,nodes4096,0.248287,,,
bfs,nodes65536,0.358850,,,
bicg,1024x1024,0.568900,,,
bicg,12288x12288,9.817500,,,
bicg,128x128,0.047500,0.039771,0.007729,-0.194338
bicg,1536x1536,0.923200,,,
bicg,16384x16384,14.174200,,,
bicg,192x192,0.066400,0.068706,0.002306,0.034729
bicg,2048x2048,1.320200,,,
bicg,24576x24576,19.910200,,,
bicg,256x256,0.131100,0.106790,0.024310,-0.227643
bicg,3072x3072,1.995700,,,
bicg,32768x32768,27.490900,,,
bicg,384x384,0.193500,0.154227,0.039273,-0.254644
bicg,4096x4096,2.652100,,,
bicg,48x48,0.021300,0.017237,0.004063,-0.235714
bicg,512x512,0.265700,0.250072,0.015628,-0.062494
bicg,6144x6144,3.998800,,,
bicg,64x64,0.024400,0.020277,0.004123,-0.203334
bicg,768x768,0.422700,0.311489,0.111211,-0.357030
bicg,8192x8192,5.700800,,,
bicg,96x96,0.032900,0.026365,0.006535,-0.247866
bitonicsort,1024,0.161200,,,
bitonicsort,1048576,1.800300,,,
bitonicsort,131072,0.484300,,,
bitonicsort,16384,0.422200,,,
bitonicsort,16777216,22.885000,,,
bitonicsort,2048,0.174300,,,
bitonicsort,2097152,3.299400,,,
bitonicsort,262144,0.758800,,,
bitonicsort,32768,0.341100,,,
bitonicsort,4096,0.196500,,,
bitonicsort,4194304,5.813100,,,
bitonicsort,524288,1.004300,,,
bitonicsort,65536,0.385800,,,
bitonicsort,8192,0.433900,,,
bitonicsort,8388608,10.939200,,,
conv2d,N1_C1_128x128_k3x3_OC3,0.010900,,,
conv2d,N1_C1_128x128_k7x7_OC3,0.032600,,,
conv2d,N1_C1_16x16_k3x3_OC3,0.011300,,,
conv2d,N1_C1_16x16_k5x5_OC3,0.015700,,,
conv2d,N1_C1_16x16_k7x7_OC3,0.020900,,,
conv2d,N1_C1_32x32_k3x3_OC3,0.010400,,,
conv2d,N1_C1_32x32_k5x5_OC3,0.015300,,,
conv2d,N1_C1_32x32_k7x7_OC3,0.024800,,,
conv2d,N1_C1_64x64_k3x3_OC3,0.009700,,,
conv2d,N1_C1_64x64_k5x5_OC3,0.014500,,,
conv2d,N1_C1_64x64_k7x7_OC3,0.023300,,,
conv2d,N1_C1_8x8_k3x3_OC3,0.009700,,,
conv2d,N1_C1_8x8_k5x5_OC3,0.015300,,,
conv2d,N1_C1_8x8_k7x7_OC3,0.021000,,,
fastwalshtransform,1024,0.055600,0.043385,0.012215,-0.281549
fastwalshtransform,1048576,0.225900,,,
fastwalshtransform,131072,0.208200,,,
fastwalshtransform,134217728,21.366700,,,
fastwalshtransform,16384,0.081400,0.060174,0.021226,-0.352744
fastwalshtransform,16777216,3.324300,,,
fastwalshtransform,2048,0.101600,,,
fastwalshtransform,2097152,0.377500,,,
fastwalshtransform,262144,0.299200,,,
fastwalshtransform,268435456,44.693200,,,
fastwalshtransform,32768,0.106100,,,
fastwalshtransform,33554432,5.872900,,,
fastwalshtransform,4096,0.062800,0.051711,0.011089,-0.214442
fastwalshtransform,4194304,0.676900,,,
fastwalshtransform,512,0.064200,,,
fastwalshtransform,524288,0.151800,,,
fastwalshtransform,65536,0.141000,0.071535,0.069465,-0.971063
fastwalshtransform,67108864,11.069900,,,
fastwalshtransform,8192,0.072100,,,
fastwalshtransform,8388608,1.309400,,,
fft1D_512,1024_elements,0.009400,,,
fft1D_512,1048576_elements,0.017000,,,
fft1D_512,131072_elements,0.007800,0.025512,0.017712,2.270769
fft1D_512,134217728_elements,0.703500,,,
fft1D_512,16384_elements,0.007800,,,
fft1D_512,16777216_elements,0.098200,,,
fft1D_512,2048_elements,0.010900,,,
fft1D_512,2097152_elements,0.021600,,,
fft1D_512,262144_elements,0.009200,0.027595,0.018395,1.999457
fft1D_512,32768_elements,0.007700,,,
fft1D_512,33554432_elements,0.186800,,,
fft1D_512,4096_elements,0.009600,,,
fft1D_512,4194304_elements,0.034300,,,
fft1D_512,512_elements,0.008600,,,
fft1D_512,524288_elements,0.012400,0.040621,0.028221,2.275887
fft1D_512,65536_elements,0.007700,,,
fft1D_512,67108864_elements,0.352600,,,
fft1D_512,8192_elements,0.008600,,,
fft1D_512,8388608_elements,0.051400,,,
fir,1024_taps16,0.005500,0.006995,0.001495,0.271818
fir,1024_taps32,0.007000,,,
fir,1024_taps64,0.009900,,,
fir,1024_taps8,0.004900,,,
fir,16384_taps16,0.005700,0.007049,0.001349,0.236667
fir,16384_taps32,0.007200,,,
fir,16384_taps64,0.010200,,,
fir,16384_taps8,0.004800,,,
fir,262144_taps16,0.006800,0.017250,0.010450,1.536765
fir,262144_taps32,0.008700,,,
fir,262144_taps64,0.012100,,,
fir,262144_taps8,0.005800,,,
fir,4096_taps16,0.005500,0.007000,0.001500,0.272727
fir,4096_taps32,0.007000,,,
fir,4096_taps64,0.010500,,,
fir,4096_taps8,0.005000,,,
fir,65536_taps16,0.005700,0.009053,0.003353,0.588246
fir,65536_taps32,0.007300,,,
fir,65536_taps64,0.010200,,,
fir,65536_taps8,0.005100,,,
floydwarshall,1024_nodes,10.287300,,,
floydwarshall,1280_nodes,18.410700,,,
floydwarshall,128_nodes,0.322300,,,
floydwarshall,1536_nodes,30.712800,,,
floydwarshall,160_nodes,0.408700,,,
floydwarshall,16_nodes,0.060400,,,
floydwarshall,192_nodes,0.468300,,,
floydwarshall,2048_nodes,70.413200,,,
floydwarshall,24_nodes,0.078800,,,
floydwarshall,2560_nodes,132.793500,,,
floydwarshall,256_nodes,0.632500,,,
floydwarshall,3072_nodes,226.707600,,,
floydwarshall,320_nodes,0.882000,,,
floydwarshall,32_nodes,0.091200,,,
floydwarshall,384_nodes,1.137800,,,
floydwarshall,4096_nodes,529.631800,,,
floydwarshall,48_nodes,0.127400,,,
floydwarshall,512_nodes,2.127200,,,
floydwarshall,640_nodes,3.191100,,,
floydwarshall,64_nodes,0.166800,,,
floydwarshall,768_nodes,4.982800,,,
floydwarshall,8_nodes,0.048200,,,
floydwarshall,96_nodes,0.248800,,,
im2col,N1_C1_1024x1024_k3x3,0.026700,,,
im2col,N1_C1_1024x1024_k5x5,0.059800,,,
im2col,N1_C1_1024x1024_k7x7,0.109400,,,
im2col,N1_C1_128x128_k3x3,0.006900,,,
im2col,N1_C1_128x128_k5x5,0.011100,,,
im2col,N1_C1_128x128_k7x7,0.017900,,,
im2col,N1_C1_16x16_k3x3,0.006400,,,
im2col,N1_C1_16x16_k5x5,0.010200,,,
im2col,N1_C1_16x16_k7x7,0.017100,,,
im2col,N1_C1_256x256_k3x3,0.008200,,,
im2col,N1_C1_256x256_k5x5,0.013800,,,
im2col,N1_C1_256x256_k7x7,0.021900,,,
im2col,N1_C1_32x32_k3x3,0.006700,,,
im2col,N1_C1_32x32_k5x5,0.010500,,,
im2col,N1_C1_32x32_k7x7,0.016800,,,
im2col,N1_C1_512x512_k3x3,0.012300,,,
im2col,N1_C1_512x512_k5x5,0.023500,,,
im2col,N1_C1_512x512_k7x7,0.038900,,,
im2col,N1_C1_64x64_k3x3,0.006600,,,
im2col,N1_C1_64x64_k5x5,0.012800,,,
im2col,N1_C1_64x64_k7x7,0.017800,,,
im2col,N1_C1_8x8_k3x3,0.006100,,,
im2col,N1_C1_8x8_k5x5,0.009200,,,
im2col,N1_C1_8x8_k7x7,0.015900,,,
kmeans,pts1024_feat16_clus5,0.011000,,,
kmeans,pts1024_feat32_clus5,0.017400,,,
kmeans,pts1024_feat64_clus5,0.043700,,,
kmeans,pts1024_feat8_clus5,0.007700,,,
kmeans,pts16384_feat16_clus5,0.011100,,,
kmeans,pts16384_feat32_clus5,0.019400,,,
kmeans,pts16384_feat64_clus5,0.043100,,,
kmeans,pts16384_feat8_clus5,0.007700,,,
kmeans,pts262144_feat16_clus5,0.027300,,,
kmeans,pts262144_feat32_clus5,0.050100,,,
kmeans,pts262144_feat64_clus5,0.095700,,,
kmeans,pts262144_feat8_clus5,0.009900,,,
kmeans,pts4096_feat16_clus5,0.010900,,,
kmeans,pts4096_feat32_clus5,0.017400,,,
kmeans,pts4096_feat64_clus5,0.043000,,,
kmeans,pts4096_feat8_clus5,0.007700,,,
kmeans,pts65536_feat16_clus5,0.011300,,,
kmeans,pts65536_feat32_clus5,0.023100,,,
kmeans,pts65536_feat64_clus5,0.084000,,,
kmeans,pts65536_feat8_clus5,0.007800,,,
matrixmultiplication,1024x1024x1024,0.181700,,,
matrixmultiplication,1280x1280x1280,0.274200,,,
matrixmultiplication,128x128x128,0.021800,0.020915,0.000885,-0.042314
matrixmultiplication,1536x1536x1536,0.419900,,,
matrixmultiplication,160x160x160,0.026200,,,
matrixmultiplication,192x192x192,0.030500,,,
matrixmultiplication,2048x2048x2048,0.771400,,,
matrixmultiplication,2560x2560x2560,1.714500,,,
matrixmultiplication,256x256x256,0.039900,0.042197,0.002297,0.057569
matrixmultiplication,3072x3072x3072,2.560900,,,
matrixmultiplication,320x320x320,0.048500,,,
matrixmultiplication,32x32x32,0.008800,0.009440,0.000640,0.072727
matrixmultiplication,384x384x384,0.057400,,,
matrixmultiplication,4096x4096x4096,6.107400,,,
matrixmultiplication,5120x5120x5120,12.198700,,,
matrixmultiplication,512x512x512,0.078000,,,
matrixmultiplication,6144x6144x6144,21.036500,,,
matrixmultiplication,640x640x640,0.097300,,,
matrixmultiplication,64x64x64,0.013000,0.012746,0.000254,-0.019928
matrixmultiplication,768x768x768,0.117000,,,
matrixmultiplication,8192x8192x8192,52.417000,,,
