kernel_name,problem_size,iterations,avg_ms,min_ms,max_ms
vectoradd,1024,51,0.0046,0.0042,0.0117
vectoradd,2048,51,0.0046,0.0042,0.0128
vectoradd,4096,51,0.0050,0.0042,0.0121
vectoradd,8192,51,0.0054,0.0043,0.0177
vectoradd,16384,51,0.0055,0.0044,0.0167
vectoradd,32768,51,0.0050,0.0042,0.0152
vectoradd,65536,51,0.0049,0.0043,0.0126
vectoradd,131072,51,0.0062,0.0044,0.0768
vectoradd,262144,51,0.0060,0.0045,0.0162
vectoradd,524288,51,0.0059,0.0050,0.0162
vectoradd,1048576,51,0.0105,0.0063,0.1825
vectoradd,2097152,51,0.0103,0.0099,0.0158
vectoradd,4194304,51,0.0164,0.0156,0.0189
vectoradd,8388608,51,0.0282,0.0274,0.0305
vectoradd,16777216,51,0.0515,0.0510,0.0534
vectoradd,33554432,51,0.1129,0.1100,0.1158
vectoradd,67108864,51,0.2280,0.2236,0.2352
vectoradd,134217728,51,0.5004,0.4895,0.5150
vectoradd,268435456,51,1.3025,1.2981,1.3139
vectoradd,536870912,51,2.8381,2.8327,2.8485
memcopy_h2d,1MB,51,0.1577,0.0692,0.3033
memcopy_d2h,1MB,51,1.2525,0.3165,39.1472
memcopy_d2d,1MB,51,0.0063,0.0043,0.0165
memcopy_h2d,2MB,51,0.0488,0.0464,0.0575
memcopy_d2h,2MB,51,0.7951,0.0520,37.8340
memcopy_d2d,2MB,51,0.0120,0.0048,0.0327
memcopy_h2d,4MB,51,0.0873,0.0838,0.1278
memcopy_d2h,4MB,51,0.8558,0.0886,39.0451
memcopy_d2d,4MB,51,0.0160,0.0062,0.0313
memcopy_h2d,8MB,51,0.1601,0.1566,0.1985
memcopy_d2h,8MB,51,0.9182,0.1616,38.6027
memcopy_d2d,8MB,51,0.0082,0.0068,0.0142
memcopy_h2d,16MB,51,0.3045,0.3000,0.3909
memcopy_d2h,16MB,51,0.9502,0.3050,32.9911
memcopy_d2d,16MB,51,0.0192,0.0108,0.0414
memcopy_h2d,32MB,51,0.5913,0.5870,0.6321
memcopy_d2h,32MB,51,1.2968,0.5904,36.4244
memcopy_d2d,32MB,51,0.0229,0.0194,0.0396
memcopy_h2d,64MB,51,1.1722,1.1701,1.1876
memcopy_d2h,64MB,51,1.9431,1.1748,40.0012
memcopy_d2d,64MB,51,0.0387,0.0355,0.0627
memcopy_h2d,128MB,51,2.3319,2.3289,2.3447
memcopy_d2h,128MB,51,3.1063,2.3326,41.6178
memcopy_d2d,128MB,51,0.0722,0.0693,0.0972
memcopy_h2d,256MB,51,4.6506,4.6465,4.6665
memcopy_d2h,256MB,51,5.4022,4.6460,42.9747
memcopy_d2d,256MB,51,0.1537,0.1434,0.1900
memcopy_h2d,512MB,51,9.2834,9.2800,9.3013
memcopy_d2h,512MB,51,11.5202,9.2745,80.6359
memcopy_d2d,512MB,51,0.6559,0.3684,14.5640
matrixtranspose,64x64,51,0.0047,0.0041,0.0098
matrixtranspose,128x128,51,0.0048,0.0043,0.0147
matrixtranspose,192x192,51,0.0050,0.0043,0.0100
matrixtranspose,256x256,51,0.0047,0.0044,0.0108
matrixtranspose,384x384,51,0.0047,0.0043,0.0104
matrixtranspose,512x512,51,0.0052,0.0047,0.0149
matrixtranspose,768x768,51,0.0057,0.0051,0.0241
matrixtranspose,1024x1024,51,0.0062,0.0058,0.0128
matrixtranspose,1536x1536,51,0.0078,0.0072,0.0157
matrixtranspose,2048x2048,51,0.0106,0.0102,0.0134
matrixtranspose,3072x3072,51,0.0226,0.0221,0.0242
matrixtranspose,4096x4096,51,0.0365,0.0360,0.0386
matrixtranspose,6144x6144,51,0.0781,0.0772,0.0819
matrixtranspose,8192x8192,51,0.1555,0.1521,0.1591
matrixtranspose,12288x12288,51,0.8175,0.8094,0.8234
matrixtranspose,16384x16384,51,1.0760,1.0697,1.0865
matrixtranspose,24576x24576,51,7.7143,7.7034,7.7255
matrixtranspose,32768x32768,51,18.7232,17.2103,49.9805
matrixtranspose,49152x49152,51,52.0591,44.8273,92.2178
floydwarshall,8_nodes,51,0.0482,0.0380,0.1127
floydwarshall,16_nodes,51,0.0604,0.0519,0.1028
floydwarshall,24_nodes,51,0.0788,0.0668,0.1039
floydwarshall,32_nodes,51,0.0912,0.0812,0.1222
floydwarshall,48_nodes,51,0.1274,0.1162,0.1460
floydwarshall,64_nodes,51,0.1668,0.1425,0.2211
floydwarshall,96_nodes,51,0.2488,0.2244,0.2863
floydwarshall,128_nodes,51,0.3223,0.2864,0.3558
floydwarshall,160_nodes,51,0.4087,0.3835,0.4405
floydwarshall,192_nodes,51,0.4683,0.4374,0.5066
floydwarshall,256_nodes,51,0.6325,0.5811,0.6769
floydwarshall,320_nodes,51,0.8820,0.8201,0.9342
floydwarshall,384_nodes,51,1.1378,1.0935,1.2947
floydwarshall,512_nodes,51,2.1272,2.0159,2.5697
floydwarshall,640_nodes,51,3.1911,3.1761,3.2158
floydwarshall,768_nodes,51,4.9828,4.9660,5.0475
floydwarshall,1024_nodes,51,10.2873,10.1986,10.3558
floydwarshall,1280_nodes,51,18.4107,18.3289,18.5283
floydwarshall,1536_nodes,51,30.7128,30.3421,44.6090
floydwarshall,2048_nodes,51,70.4132,68.5419,86.5654
floydwarshall,2560_nodes,51,132.7935,130.7907,145.7298
floydwarshall,3072_nodes,51,226.7076,223.2356,238.5967
floydwarshall,4096_nodes,51,529.6318,523.4960,553.8486
fastwalshtransform,512,51,0.0642,0.0492,0.0796
fastwalshtransform,1024,51,0.0556,0.0490,0.0726
fastwalshtransform,2048,51,0.1016,0.0616,0.1461
fastwalshtransform,4096,51,0.0628,0.0525,0.1315
fastwalshtransform,8192,51,0.0721,0.0642,0.1044
fastwalshtransform,16384,51,0.0814,0.0744,0.1029
fastwalshtransform,32768,51,0.1061,0.0952,0.1814
fastwalshtransform,65536,51,0.1410,0.1268,0.1690
fastwalshtransform,131072,51,0.2082,0.1850,0.2584
fastwalshtransform,262144,51,0.2992,0.2006,0.3662
fastwalshtransform,524288,51,0.1518,0.1457,0.1930
fastwalshtransform,1048576,51,0.2259,0.2196,0.2678
fastwalshtransform,2097152,51,0.3775,0.3685,0.5240
fastwalshtransform,4194304,51,0.6769,0.6691,0.6922
fastwalshtransform,8388608,51,1.3094,1.2897,1.3446
fastwalshtransform,16777216,51,3.3243,2.5673,39.6225
fastwalshtransform,33554432,51,5.8729,5.1257,40.8986
fastwalshtransform,67108864,51,11.0699,10.2792,47.4960
fastwalshtransform,134217728,51,21.3667,20.2223,55.5168
