kernel_name,problem_size,iterations,avg_ms,min_ms,max_ms
vectoradd,1024,5,0.0043,0.0042,0.0044
vectoradd,2048,5,0.0050,0.0043,0.0072
vectoradd,4096,5,0.0050,0.0044,0.0064
vectoradd,8192,5,0.0056,0.0046,0.0066
vectoradd,16384,5,0.0056,0.0045,0.0091
vectoradd,32768,5,0.0066,0.0058,0.0086
vectoradd,65536,5,0.0048,0.0044,0.0061
vectoradd,131072,5,0.0048,0.0044,0.0061
vectoradd,262144,5,0.0052,0.0048,0.0062
vectoradd,524288,5,0.0061,0.0053,0.0069
vectoradd,1048576,5,0.0069,0.0064,0.0076
vectoradd,2097152,5,0.0107,0.0102,0.0112
vectoradd,4194304,5,0.0166,0.0159,0.0175
vectoradd,8388608,5,0.0282,0.0276,0.0294
vectoradd,16777216,5,0.0516,0.0512,0.0526
vectoradd,33554432,5,0.1129,0.1092,0.1165
vectoradd,67108864,5,0.2228,0.2201,0.2279
vectoradd,134217728,5,0.4573,0.4538,0.4585
vectoradd,268435456,5,0.9183,0.9011,0.9483
vectoradd,536870912,5,1.8438,1.8266,1.8537
memcopy_h2d,1MB,5,0.1656,0.1530,0.1802
memcopy_d2h,1MB,5,7.2609,0.2392,35.1885
memcopy_d2d,1MB,5,0.0101,0.0043,0.0172
memcopy_h2d,2MB,5,0.0575,0.0464,0.0970
memcopy_d2h,2MB,5,7.4875,0.0496,37.1649
memcopy_d2d,2MB,5,0.0049,0.0047,0.0058
memcopy_h2d,4MB,5,0.0859,0.0820,0.0985
memcopy_d2h,4MB,5,6.5722,0.0872,32.4807
memcopy_d2d,4MB,5,0.0134,0.0060,0.0278
memcopy_h2d,8MB,5,0.1704,0.1598,0.2096
memcopy_d2h,8MB,5,7.5694,0.1645,37.1136
memcopy_d2d,8MB,5,0.0169,0.0081,0.0496
memcopy_h2d,16MB,5,0.3111,0.3000,0.3531
memcopy_d2h,16MB,5,6.5279,0.3045,31.3946
memcopy_d2d,16MB,5,0.0116,0.0106,0.0148
memcopy_h2d,32MB,5,0.6120,0.5891,0.6643
memcopy_d2h,32MB,5,8.0156,0.5946,37.6320
memcopy_d2d,32MB,5,0.0202,0.0194,0.0207
memcopy_h2d,64MB,5,1.1724,1.1696,1.1811
memcopy_d2h,64MB,5,8.4871,1.1732,37.7311
memcopy_d2d,64MB,5,0.0367,0.0358,0.0381
memcopy_h2d,128MB,5,2.3352,2.3323,2.3446
memcopy_d2h,128MB,5,9.8989,2.3336,40.1577
memcopy_d2d,128MB,5,0.0700,0.0694,0.0703
memcopy_h2d,256MB,5,4.6490,4.6476,4.6509
memcopy_d2h,256MB,5,12.4842,4.6443,43.8311
memcopy_d2d,256MB,5,0.1513,0.1429,0.1559
memcopy_h2d,512MB,5,9.2757,9.2700,9.2867
memcopy_d2h,512MB,5,16.9157,9.2747,47.4682
memcopy_d2d,512MB,5,0.3028,0.3015,0.3048
matrixtranspose,64x64,5,0.0046,0.0044,0.0048
matrixtranspose,128x128,5,0.0047,0.0045,0.0048
matrixtranspose,192x192,5,0.0058,0.0048,0.0066
matrixtranspose,256x256,5,0.0059,0.0056,0.0063
matrixtranspose,384x384,5,0.0060,0.0049,0.0070
matrixtranspose,512x512,5,0.0056,0.0049,0.0070
matrixtranspose,768x768,5,0.0062,0.0054,0.0071
matrixtranspose,1024x1024,5,0.0062,0.0060,0.0068
matrixtranspose,1536x1536,5,0.0075,0.0071,0.0083
matrixtranspose,2048x2048,5,0.0109,0.0104,0.0117
matrixtranspose,3072x3072,5,0.0223,0.0220,0.0226
matrixtranspose,4096x4096,5,0.0374,0.0366,0.0378
matrixtranspose,6144x6144,5,0.0792,0.0781,0.0814
matrixtranspose,8192x8192,5,0.1514,0.1486,0.1526
matrixtranspose,12288x12288,5,0.3529,0.3523,0.3540
matrixtranspose,16384x16384,5,0.5983,0.5971,0.6000
matrixtranspose,24576x24576,5,1.3717,1.3682,1.3778
matrixtranspose,32768x32768,5,2.4317,2.4236,2.4386
matrixtranspose,49152x49152,5,9.3690,9.3634,9.3745
floydwarshall,8_nodes,5,0.0621,0.0562,0.0682
floydwarshall,16_nodes,5,0.0960,0.0765,0.1143
floydwarshall,24_nodes,5,0.1207,0.1080,0.1294
floydwarshall,32_nodes,5,0.1563,0.1414,0.1695
floydwarshall,48_nodes,5,0.2258,0.2102,0.2722
floydwarshall,64_nodes,5,0.3024,0.2754,0.3325
floydwarshall,96_nodes,5,0.4580,0.4064,0.4794
floydwarshall,128_nodes,5,0.6016,0.4919,0.6514
floydwarshall,160_nodes,5,0.3868,0.3754,0.4086
floydwarshall,192_nodes,5,0.4452,0.4320,0.4722
floydwarshall,256_nodes,5,1.0276,0.9530,1.1926
floydwarshall,320_nodes,5,1.4772,1.2882,1.6698
floydwarshall,384_nodes,5,1.5039,1.4105,1.5753
floydwarshall,512_nodes,5,2.5269,2.4879,2.5727
floydwarshall,640_nodes,5,3.2289,3.2127,3.2661
floydwarshall,768_nodes,5,5.0191,4.9893,5.0325
floydwarshall,1024_nodes,5,10.2934,10.2651,10.3261
floydwarshall,1280_nodes,5,18.3396,18.3321,18.3493
floydwarshall,1536_nodes,5,30.5453,30.5258,30.5695
floydwarshall,2048_nodes,5,68.8677,68.5662,69.0198
floydwarshall,2560_nodes,5,131.2377,131.0500,131.3943
floydwarshall,3072_nodes,5,229.7363,223.6863,239.3333
floydwarshall,4096_nodes,5,534.5010,524.4376,552.2051
fastwalshtransform,512,5,0.0468,0.0396,0.0605
fastwalshtransform,1024,5,0.0824,0.0534,0.1065
fastwalshtransform,2048,5,0.1077,0.0448,0.1605
fastwalshtransform,4096,5,0.0580,0.0524,0.0687
fastwalshtransform,8192,5,0.0924,0.0883,0.1020
fastwalshtransform,16384,5,0.0870,0.0714,0.1250
fastwalshtransform,32768,5,0.1262,0.1148,0.1562
fastwalshtransform,65536,5,0.1675,0.1487,0.1972
fastwalshtransform,131072,5,0.2311,0.2192,0.2450
fastwalshtransform,262144,5,0.4100,0.3971,0.4192
fastwalshtransform,524288,5,0.1450,0.1379,0.1651
fastwalshtransform,1048576,5,0.2386,0.2214,0.2656
fastwalshtransform,2097152,5,0.3805,0.3593,0.4586
fastwalshtransform,4194304,5,0.6838,0.6729,0.7104
fastwalshtransform,8388608,5,1.3417,1.3228,1.3726
fastwalshtransform,16777216,5,10.5394,2.6111,42.1807
fastwalshtransform,33554432,5,12.4923,5.1617,41.7135
fastwalshtransform,67108864,5,17.2902,10.2976,45.1218
fastwalshtransform,134217728,5,26.8111,20.3939,52.2314
fastwalshtransform,268435456,5,48.7855,40.9443,80.0382
fir,1024_taps8,5,0.0050,0.0046,0.0060
fir,1024_taps16,5,0.0056,0.0054,0.0057
fir,1024_taps32,5,0.0070,0.0069,0.0071
fir,1024_taps64,5,0.0098,0.0097,0.0100
fir,4096_taps8,5,0.0061,0.0059,0.0066
fir,4096_taps16,5,0.0056,0.0054,0.0057
fir,4096_taps32,5,0.0082,0.0071,0.0110
fir,4096_taps64,5,0.0105,0.0100,0.0110
fir,16384_taps8,5,0.0055,0.0047,0.0070
fir,16384_taps16,5,0.0069,0.0058,0.0097
fir,16384_taps32,5,0.0073,0.0069,0.0082
fir,16384_taps64,5,0.0135,0.0127,0.0147
fir,65536_taps8,5,0.0052,0.0048,0.0062
fir,65536_taps16,5,0.0061,0.0054,0.0077
fir,65536_taps32,5,0.0071,0.0069,0.0079
fir,65536_taps64,5,0.0100,0.0098,0.0101
fir,262144_taps8,5,0.0066,0.0065,0.0067
fir,262144_taps16,5,0.0062,0.0062,0.0063
fir,262144_taps32,5,0.0090,0.0083,0.0111
fir,262144_taps64,5,0.0124,0.0121,0.0131
simpleconvolution,128x128_mask3,5,0.0050,0.0049,0.0053
simpleconvolution,128x128_mask5,5,0.0069,0.0064,0.0075
simpleconvolution,128x128_mask7,5,0.0089,0.0083,0.0096
simpleconvolution,128x128_mask9,5,0.0111,0.0110,0.0115
simpleconvolution,256x256_mask3,5,0.0065,0.0053,0.0076
simpleconvolution,256x256_mask5,5,0.0071,0.0069,0.0078
simpleconvolution,256x256_mask7,5,0.0101,0.0088,0.0110
simpleconvolution,256x256_mask9,5,0.0118,0.0116,0.0127
simpleconvolution,512x512_mask3,5,0.0080,0.0076,0.0085
simpleconvolution,512x512_mask5,5,0.0107,0.0096,0.0130
simpleconvolution,512x512_mask7,5,0.0131,0.0125,0.0133
simpleconvolution,512x512_mask9,5,0.0191,0.0185,0.0200
simpleconvolution,1024x1024_mask3,5,0.0145,0.0140,0.0162
simpleconvolution,1024x1024_mask5,5,0.0200,0.0193,0.0206
simpleconvolution,1024x1024_mask7,5,0.0276,0.0274,0.0280
simpleconvolution,1024x1024_mask9,5,0.0397,0.0393,0.0409
simpleconvolution,2048x2048_mask3,5,0.0391,0.0386,0.0395
simpleconvolution,2048x2048_mask5,5,0.0623,0.0620,0.0629
simpleconvolution,2048x2048_mask7,5,0.1008,0.1004,0.1014
simpleconvolution,2048x2048_mask9,5,0.1467,0.1463,0.1475
simpleconvolution,4096x4096_mask3,5,0.1342,0.1338,0.1346
simpleconvolution,4096x4096_mask5,5,0.2217,0.2209,0.2224
simpleconvolution,4096x4096_mask7,5,0.3779,0.3771,0.3792
simpleconvolution,4096x4096_mask9,5,0.5465,0.5460,0.5474
bitonicsort,1024,5,0.2238,0.2033,0.2386
bitonicsort,2048,5,0.1728,0.1602,0.1856
bitonicsort,4096,5,0.2326,0.1985,0.3328
bitonicsort,8192,5,0.4035,0.3530,0.4358
bitonicsort,16384,5,0.3549,0.3083,0.4233
bitonicsort,32768,5,0.5185,0.4646,0.5714
bitonicsort,65536,5,0.3972,0.3716,0.4520
bitonicsort,131072,5,0.5169,0.4825,0.5746
bitonicsort,262144,5,0.6808,0.6602,0.7217
bitonicsort,524288,5,0.9932,0.9846,1.0193
bitonicsort,1048576,5,1.8462,1.8338,1.8694
bitonicsort,2097152,5,3.2383,3.2209,3.2595
bitonicsort,4194304,5,5.8199,5.8079,5.8327
bitonicsort,8388608,5,10.9202,10.9144,10.9251
bitonicsort,16777216,5,29.3985,21.8277,59.6396
kmeans,pts1024_feat8_clus5,5,0.0076,0.0076,0.0078
kmeans,pts1024_feat16_clus5,5,0.0109,0.0107,0.0113
kmeans,pts1024_feat32_clus5,5,0.0177,0.0175,0.0184
kmeans,pts1024_feat64_clus5,5,0.0436,0.0418,0.0450
kmeans,pts4096_feat8_clus5,5,0.0075,0.0074,0.0078
kmeans,pts4096_feat16_clus5,5,0.0112,0.0108,0.0115
kmeans,pts4096_feat32_clus5,5,0.0185,0.0175,0.0203
kmeans,pts4096_feat64_clus5,5,0.0430,0.0427,0.0434
kmeans,pts16384_feat8_clus5,5,0.0080,0.0073,0.0085
kmeans,pts16384_feat16_clus5,5,0.0111,0.0108,0.0117
kmeans,pts16384_feat32_clus5,5,0.0178,0.0172,0.0183
kmeans,pts16384_feat64_clus5,5,0.0432,0.0428,0.0436
kmeans,pts65536_feat8_clus5,5,0.0075,0.0074,0.0075
kmeans,pts65536_feat16_clus5,5,0.0110,0.0109,0.0112
kmeans,pts65536_feat32_clus5,5,0.0229,0.0228,0.0230
kmeans,pts65536_feat64_clus5,5,0.0838,0.0831,0.0841
kmeans,pts262144_feat8_clus5,5,0.0097,0.0094,0.0099
kmeans,pts262144_feat16_clus5,5,0.0273,0.0271,0.0275
kmeans,pts262144_feat32_clus5,5,0.0500,0.0497,0.0504
kmeans,pts262144_feat64_clus5,5,0.0960,0.0957,0.0964
atax,48x48,5,0.0242,0.0233,0.0267
atax,64x64,5,0.0293,0.0285,0.0300
atax,96x96,5,0.0440,0.0430,0.0456
atax,128x128,5,0.0479,0.0471,0.0483
atax,192x192,5,0.0758,0.0738,0.0790
atax,256x256,5,0.1504,0.1490,0.1519
atax,384x384,5,0.2092,0.2067,0.2120
atax,512x512,5,0.2691,0.2576,0.2766
atax,768x768,5,0.4323,0.4272,0.4402
atax,1024x1024,5,0.5804,0.5612,0.5964
atax,1536x1536,5,0.9235,0.8882,0.9396
atax,2048x2048,5,1.3112,1.2978,1.3268
atax,3072x3072,5,2.0119,1.9950,2.0287
atax,4096x4096,5,2.6495,2.6257,2.6723
atax,6144x6144,5,4.0063,3.9346,4.0340
atax,8192x8192,5,5.9860,5.9197,6.0564
atax,12288x12288,5,9.7637,9.6661,9.8268
atax,16384x16384,5,13.1315,13.0900,13.1928
atax,24576x24576,5,19.8986,19.8756,19.9301
atax,32768x32768,5,26.8511,26.7889,26.9321
bicg,48x48,5,0.0193,0.0177,0.0204
bicg,64x64,5,0.0245,0.0235,0.0261
bicg,96x96,5,0.0342,0.0336,0.0354
bicg,128x128,5,0.0470,0.0466,0.0480
bicg,192x192,5,0.0665,0.0656,0.0678
bicg,256x256,5,0.1274,0.1238,0.1312
bicg,384x384,5,0.1963,0.1924,0.2020
bicg,512x512,5,0.2689,0.2580,0.2791
bicg,768x768,5,0.4196,0.4030,0.4350
bicg,1024x1024,5,0.5623,0.5392,0.5802
bicg,1536x1536,5,0.9112,0.8940,0.9328
bicg,2048x2048,5,1.3027,1.2891,1.3222
bicg,3072x3072,5,2.0044,1.9826,2.0246
bicg,4096x4096,5,2.6546,2.6263,2.6689
bicg,6144x6144,5,4.3576,4.3116,4.3822
bicg,8192x8192,5,5.9915,5.9240,6.0671
bicg,12288x12288,5,9.8443,9.7604,9.8707
bicg,16384x16384,5,13.1413,13.0923,13.1699
bicg,24576x24576,5,19.8587,19.6747,19.9309
bicg,32768x32768,5,45.0286,26.9033,73.5665
relu,1024,5,0.0053,0.0050,0.0059
relu,2048,5,0.0048,0.0044,0.0064
relu,4096,5,0.0044,0.0041,0.0047
relu,8192,5,0.0046,0.0043,0.0055
relu,16384,5,0.0042,0.0040,0.0050
relu,32768,5,0.0042,0.0041,0.0044
relu,65536,5,0.0046,0.0042,0.0052
relu,131072,5,0.0046,0.0043,0.0057
relu,262144,5,0.0049,0.0045,0.0060
relu,524288,5,0.0058,0.0051,0.0067
relu,1048576,5,0.0074,0.0066,0.0093
relu,2097152,5,0.0089,0.0086,0.0094
relu,4194304,5,0.0135,0.0128,0.0150
relu,8388608,5,0.0210,0.0208,0.0213
relu,16777216,5,0.0367,0.0365,0.0371
relu,33554432,5,0.0763,0.0751,0.0792
relu,67108864,5,0.1774,0.1751,0.1791
relu,134217728,5,0.3571,0.3524,0.3588
relu,268435456,5,0.7182,0.7014,0.7379
relu,536870912,5,1.4519,1.4174,1.4725
relu,1073741824,5,2.9186,2.8545,2.9619
pagerank,nodes64_sparsity0.5_priters2,5,0.0136,0.0126,0.0153
pagerank,nodes128_sparsity0.5_priters2,5,0.0336,0.0127,0.0961
pagerank,nodes192_sparsity0.5_priters2,5,0.0180,0.0130,0.0311
pagerank,nodes256_sparsity0.5_priters2,5,0.0168,0.0135,0.0240
pagerank,nodes384_sparsity0.5_priters2,5,0.0181,0.0136,0.0272
pagerank,nodes512_sparsity0.5_priters2,5,0.0239,0.0173,0.0338
pagerank,nodes768_sparsity0.5_priters2,5,0.0198,0.0164,0.0263
pagerank,nodes1024_sparsity0.5_priters2,5,0.0214,0.0181,0.0291
pagerank,nodes1536_sparsity0.5_priters2,5,0.0248,0.0210,0.0318
pagerank,nodes2048_sparsity0.5_priters2,5,0.0322,0.0283,0.0386
pagerank,nodes3072_sparsity0.5_priters2,5,0.0467,0.0426,0.0521
pagerank,nodes4096_sparsity0.5_priters2,5,0.0711,0.0659,0.0765
pagerank,nodes6144_sparsity0.5_priters2,5,0.1078,0.1021,0.1148
pagerank,nodes8192_sparsity0.5_priters2,5,0.2234,0.2214,0.2268
pagerank,nodes12288_sparsity0.5_priters2,5,0.4773,0.4695,0.4973
pagerank,nodes16384_sparsity0.5_priters2,5,0.8929,0.8849,0.9026
pagerank,nodes24576_sparsity0.5_priters2,5,1.8419,1.8278,1.8530
pagerank,nodes32768_sparsity0.5_priters2,5,3.1289,3.0641,3.2194
pagerank,nodes49152_sparsity0.5_priters2,5,8.4261,8.3365,8.5283
stencil2d,64x64,5,0.0059,0.0058,0.0061
stencil2d,128x128,5,0.0062,0.0061,0.0065
stencil2d,192x192,5,0.0062,0.0062,0.0062
stencil2d,256x256,5,0.0065,0.0055,0.0079
stencil2d,384x384,5,0.0064,0.0056,0.0077
stencil2d,512x512,5,0.0063,0.0059,0.0072
stencil2d,768x768,5,0.0071,0.0067,0.0074
stencil2d,1024x1024,5,0.0111,0.0080,0.0228
stencil2d,1536x1536,5,0.0104,0.0100,0.0113
stencil2d,2048x2048,5,0.0194,0.0192,0.0195
stencil2d,3072x3072,5,0.0291,0.0287,0.0298
stencil2d,4096x4096,5,0.0637,0.0626,0.0667
stencil2d,6144x6144,5,0.0976,0.0971,0.0988
stencil2d,8192x8192,5,0.2242,0.2176,0.2295
stencil2d,12288x12288,5,0.4465,0.4447,0.4500
stencil2d,16384x16384,5,0.8966,0.8933,0.9051
stencil2d,24576x24576,5,1.9512,1.8965,1.9736
stencil2d,32768x32768,5,3.6460,3.6277,3.6623
bfs,nodes1024,5,0.3035,0.2767,0.3588
bfs,nodes1024,5,0.1939,0.1793,0.2032
bfs,nodes1024,5,0.1937,0.1804,0.2182
bfs,nodes1024,5,0.1624,0.1534,0.1731
bfs,nodes4096,5,0.3310,0.3179,0.3444
bfs,nodes4096,5,0.2614,0.2483,0.2837
bfs,nodes4096,5,0.2013,0.1910,0.2242
bfs,nodes4096,5,0.1730,0.1615,0.1862
bfs,nodes16384,5,0.3905,0.3720,0.4093
bfs,nodes16384,5,0.2757,0.2688,0.2850
bfs,nodes16384,5,0.2418,0.2241,0.2716
bfs,nodes16384,5,0.2085,0.1994,0.2208
bfs,nodes65536,5,0.4950,0.4858,0.5028
bfs,nodes65536,5,0.3474,0.3212,0.3895
bfs,nodes65536,5,0.2855,0.2626,0.3167
bfs,nodes65536,5,0.3402,0.3164,0.3672
bfs,nodes262144,5,0.7126,0.6993,0.7491
bfs,nodes262144,5,0.4830,0.4538,0.5047
bfs,nodes262144,5,0.6453,0.6344,0.6593
bfs,nodes262144,5,0.5313,0.5024,0.5646
nw,length=64,5,0.0511,0.0489,0.0564
nw,length=128,5,0.1285,0.1257,0.1340
nw,length=192,5,0.2029,0.2004,0.2062
nw,length=256,5,0.2860,0.2804,0.2896
nw,length=320,5,0.4282,0.4134,0.4418
nw,length=384,5,0.5239,0.5072,0.5598
nw,length=448,5,0.5734,0.5593,0.5996
nw,length=512,5,0.5441,0.5366,0.5636
nw,length=640,5,0.6901,0.6816,0.7113
nw,length=768,5,0.8353,0.8288,0.8532
nw,length=896,5,0.9877,0.9790,1.0086
nw,length=1024,5,1.1413,1.1334,1.1630
nw,length=1280,5,1.4450,1.4372,1.4633
nw,length=1536,5,1.7804,1.7752,1.7974
nw,length=1792,5,2.2685,2.2600,2.2833
nw,length=2048,5,2.8624,2.8568,2.8767
nw,length=2560,5,3.7333,3.7244,3.7577
nw,length=3072,5,4.6070,4.5975,4.6261
nw,length=3584,5,5.5128,5.4987,5.5639
nw,length=4096,5,14.7907,6.7637,46.8274
nw,length=5120,5,8.9881,8.8784,9.2230
nw,length=6144,5,11.9963,11.9734,12.0757
nw,length=7168,5,21.0901,14.6493,46.8279
nw,length=8192,5,24.3478,17.6794,50.9839
fft1D_512,512_elements,5,0.0117,0.0086,0.0143
fft1D_512,1024_elements,5,0.0098,0.0069,0.0110
fft1D_512,2048_elements,5,0.0111,0.0106,0.0119
fft1D_512,4096_elements,5,0.0109,0.0107,0.0113
fft1D_512,8192_elements,5,0.0115,0.0110,0.0120
