kernel_name,problem_size,sim_time_ms
vectoradd,1024,0.003918
vectoradd,2048,0.003936
vectoradd,4096,0.003977
vectoradd,8192,0.004037
vectoradd,16384,0.002438
relu,1024,0.003894
relu,2048,0.003905
relu,4096,0.003924
relu,8192,0.003954
stencil2d,64x64,0.047864
stencil2d,128x128,0.048385
stencil2d,192x192,0.048268
stencil2d,256x256,0.049145
stencil2d,512x512,0.048253
matrixmultiplication,64x64x64,0.015426
matrixmultiplication,128x128x128,0.030722
matrixmultiplication,256x256x256,0.081781
matrixmultiplication,512x512x512,0.170639
floydwarshall,32_nodes,0.084862
floydwarshall,64_nodes,0.181406
nbody,256_particles,0.022699
nbody,512_particles,0.040448
nbody,1024_particles,0.075162
nbody,2048_particles,0.144345
nbody,4096_particles,0.283180
nbody,8192_particles,0.559767
nw,length=64,0.055165
nw,length=128,0.133574
nw,length=256,0.298738
nw,length=512,0.716014
nw,length=768,1.241563
nw,length=1024,1.902048
fir,1024_taps16,0.005015
