kernel_name,problem_size,iterations,avg_ms,min_ms,max_ms
vectoradd,1024,1,0.0039,0.0039,0.0039
vectoradd,2048,1,0.0039,0.0039,0.0039
vectoradd,4096,1,0.0040,0.0040,0.0040
vectoradd,8192,1,0.0040,0.0040,0.0040
vectoradd,16384,1,0.0024,0.0024,0.0024
relu,1024,1,0.0039,0.0039,0.0039
relu,2048,1,0.0039,0.0039,0.0039
relu,4096,1,0.0039,0.0039,0.0039
relu,8192,1,0.0040,0.0040,0.0040
stencil2d,64x64,1,0.0251,0.0251,0.0251
stencil2d,128x128,1,0.0260,0.0260,0.0260
stencil2d,256x256,1,0.0256,0.0256,0.0256
nbody,256_particles,1,0.1574,0.1574,0.1574
nbody,512_particles,1,0.2962,0.2962,0.2962
nbody,1024_particles,1,0.5735,0.5735,0.5735
matrixmultiplication,32x32x32,1,0.0106,0.0106,0.0106
matrixmultiplication,64x64x64,1,0.0172,0.0172,0.0172
matrixmultiplication,96x96x96,1,0.0249,0.0249,0.0249
matrixmultiplication,128x128x128,1,0.0341,0.0341,0.0341
floydwarshall,32_nodes,1,0.0591,0.0591,0.0591
floydwarshall,64_nodes,1,0.1306,0.1306,0.1306
nw,length=64,1,0.0586,0.0586,0.0586
nw,length=128,1,0.1350,0.1350,0.1350
nw,length=256,1,0.2981,0.2981,0.2981
nw,length=512,1,0.7124,0.7124,0.7124
nw,length=768,1,1.2331,1.2331,1.2331
nw,length=1024,1,1.8921,1.8921,1.8921
fir,1024_taps16,1,0.0050,0.0050,0.0050
