kernel_name,problem_size,iterations,avg_ms,min_ms,max_ms
vectoradd,1024,1,0.0014,0.0014,0.0014
vectoradd,2048,1,0.0014,0.0014,0.0014
vectoradd,4096,1,0.0015,0.0015,0.0015
vectoradd,8192,1,0.0015,0.0015,0.0015
relu,1024,1,0.0014,0.0014,0.0014
relu,2048,1,0.0014,0.0014,0.0014
relu,4096,1,0.0014,0.0014,0.0014
relu,8192,1,0.0015,0.0015,0.0015
stencil2d,64x64,1,0.0183,0.0183,0.0183
stencil2d,128x128,1,0.0187,0.0187,0.0187
stencil2d,256x256,1,0.0177,0.0177,0.0177
matrixmultiplication,32x32x32,1,0.0079,0.0079,0.0079
matrixmultiplication,64x64x64,1,0.0130,0.0130,0.0130
matrixmultiplication,96x96x96,1,0.0182,0.0182,0.0182
matrixmultiplication,128x128x128,1,0.0239,0.0239,0.0239
nbody,256_particles,1,0.1478,0.1478,0.1478
nbody,512_particles,1,0.2861,0.2861,0.2861
nbody,1024_particles,1,0.5632,0.5632,0.5632
floydwarshall,32_nodes,1,0.0255,0.0255,0.0255
floydwarshall,64_nodes,1,0.0641,0.0641,0.0641
nw,length=64,1,0.0520,0.0520,0.0520
nw,length=128,1,0.1191,0.1191,0.1191
nw,length=256,1,0.2483,0.2483,0.2483
nw,length=512,1,0.5338,0.5338,0.5338
nw,length=768,1,0.8460,0.8460,0.8460
nw,length=1024,1,1.2169,1.2169,1.2169
fir,1024_taps16,1,0.0021,0.0021,0.0021
