benchmark,problem_size,sim_kernel_time_s,status
vectoradd,1024,3.425e-06,ok
vectoradd,4096,3.484e-06,ok
vectoradd,16384,3.716e-06,ok
vectoradd,65536,5.571e-06,ok
vectoradd,262144,1.4102e-05,ok
vectoradd,524288,2.5481e-05,ok
vectoradd,1048576,4.8237e-05,ok
vectoradd,2097152,,timeout_sim_too_slow
vectoradd,4194304,,timeout_sim_too_slow
atax,32x32,1.1738e-05,ok
atax,64x64,2.1063e-05,ok
atax,128x128,6.299e-05,ok
atax,256x256,2.78017e-04,ok
atax,512x512,9.55943e-04,ok
atax,768x768,8.24989e-04,ok
atax,1024x1024,,timeout_sim_too_slow
stencil2d,64x64,2.8294e-05,ok
stencil2d,128x128,2.8689e-05,ok
stencil2d,256x256,2.7678e-05,ok
stencil2d,512x512,2.977e-05,ok
stencil2d,768x768,3.7236e-05,ok
stencil2d,1024x1024,,crash_mmu_page_not_found
bicg,64x64,2.3634e-05,ok
bicg,128x128,6.8151e-05,ok
bicg,256x256,2.88062e-04,ok
bicg,512x512,9.74904e-04,ok
bicg,768x768,8.55847e-04,ok
spmv,dim1024_sp0.004,5.964e-06,ok
spmv,dim4096_sp0.004,1.8104e-05,ok
spmv,dim4096_sp0.001,8.624e-06,ok
spmv,dim16384_sp0.004,,crash_or_timeout
fft,1MB,4.0077e-05,ok
fft,2MB,4.2328e-05,ok
fft,4MB,,timeout_sim_too_slow
nbody,64_particles,,crash_mmu_page_not_found
nbody,256_particles,,crash_mmu_page_not_found
nbody,1024_particles,,crash_mmu_page_not_found
