kernel_name,problem_size,sim_time_ms
vectoradd,1024,0.006112
vectoradd,2048,0.006120
vectoradd,4096,0.006140
vectoradd,8192,0.006179
vectoradd,16384,0.006316
vectoradd,32768,0.007026
vectoradd,65536,0.008450
vectoradd,131072,0.011293
vectoradd,262144,0.016983
vectoradd,524288,0.028360
relu,1024,0.006094
relu,2048,0.006104
relu,4096,0.006122
relu,8192,0.006158
relu,32768,0.007011
relu,65536,0.008432
relu,131072,0.011277
relu,262144,0.016963
relu,524288,0.028341
matrixtranspose,64,0.006401
matrixtranspose,128,0.006437
matrixtranspose,256,0.006537
matrixtranspose,512,0.006744
matrixtranspose,1024,0.008263
fir,1024_taps16,0.006995
fir,4096_taps16,0.007000
fir,16384_taps16,0.007049
fir,65536_taps16,0.009053
fir,262144_taps16,0.017250
fastwalshtransform,1024,0.043385
fastwalshtransform,4096,0.051711
fastwalshtransform,16384,0.060174
fastwalshtransform,65536,0.071535
atax,48x48,0.016216
atax,64x64,0.018934
atax,96x96,0.024372
atax,128x128,0.037236
atax,192x192,0.065053
atax,256x256,0.102108
atax,384x384,0.147437
atax,512x512,0.240162
atax,768x768,0.297438
bicg,48x48,0.017237
bicg,64x64,0.020277
bicg,96x96,0.026365
bicg,128x128,0.039771
bicg,192x192,0.068706
bicg,256x256,0.106790
bicg,384x384,0.154227
bicg,512x512,0.250072
bicg,768x768,0.311489
stencil2d,64x64,0.030572
stencil2d,128x128,0.030837
stencil2d,192x192,0.030789
stencil2d,256x256,0.030973
stencil2d,384x384,0.032235
stencil2d,512x512,0.034569
stencil2d,768x768,0.042001
matrixmultiplication,32x32x32,0.009440
matrixmultiplication,64x64x64,0.012746
matrixmultiplication,128x128x128,0.020915
matrixmultiplication,256x256x256,0.042197
fft,131072_elements,0.025512
fft,262144_elements,0.027595
fft,524288_elements,0.040621
