kernel_name,problem_size,sim_time_ms
atax,48x48,0.016216
atax,64x64,0.018934
atax,96x96,0.024372
atax,128x128,0.037236
atax,192x192,0.065053
atax,256x256,0.102108
atax,384x384,0.147437
atax,512x512,0.240162
atax,768x768,0.297438
bicg,48x48,0.017237
bicg,64x64,0.020277
bicg,96x96,0.026365
bicg,128x128,0.039771
bicg,192x192,0.068706
bicg,256x256,0.106790
bicg,384x384,0.154227
bicg,512x512,0.250072
bicg,768x768,0.311489
stencil2d,64x64,0.030572
stencil2d,128x128,0.030837
stencil2d,192x192,0.030789
stencil2d,256x256,0.030973
stencil2d,384x384,0.032235
stencil2d,512x512,0.034569
stencil2d,768x768,0.042001
matrixmultiplication,32x32x32,0.009440
matrixmultiplication,64x64x64,0.012746
matrixmultiplication,128x128x128,0.020915
matrixmultiplication,256x256x256,0.042197
fft1D_512,131072_elements,0.025512
fft1D_512,262144_elements,0.027595
fft1D_512,524288_elements,0.040621
