source,bucket,package,lines,path
nvidia,new,,48,nvidia/driver/builder.go
nvidia,new,,2,nvidia/driver/doc.go
nvidia,new,,134,nvidia/driver/driver.go
nvidia,new,,547,nvidia/gpu/builder.go
nvidia,new,,2,nvidia/gpu/doc.go
nvidia,new,,370,nvidia/gpu/gpucontroller.go
nvidia,new,,2,nvidia/message/doc.go
nvidia,new,,212,nvidia/message/message.go
nvidia,new,,61,nvidia/platform/A100builder.go
nvidia,new,,75,nvidia/platform/H100builder.go
nvidia,new,,3,nvidia/platform/doc.go
nvidia,new,,11,nvidia/platform/platform.go
nvidia,new,,41,nvidia/runner/builder.go
nvidia,new,,3,nvidia/runner/doc.go
nvidia,new,,73,nvidia/runner/runner.go
nvidia,new,,284,nvidia/sm/builder.go
nvidia,new,,2,nvidia/sm/doc.go
nvidia,adapted,,386,nvidia/sm/smcontroller.go
nvidia,new,,56,nvidia/smsp/builder.go
nvidia,new,,2,nvidia/smsp/doc.go
nvidia,adapted,,127,nvidia/smsp/pipelineinstance.go
nvidia,adapted,,121,nvidia/smsp/resourcepool.go
nvidia,adapted,,188,nvidia/smsp/scheduler.go
nvidia,adapted,,128,nvidia/smsp/scoreboard.go
nvidia,adapted,,364,nvidia/smsp/smspcontroller.go
nvidia,adapted,,354,nvidia/smsp/stage.go
nvidia,new,,76,nvidia/trace/builder.go
nvidia,new,,2,nvidia/trace/doc.go
nvidia,new,,181,nvidia/trace/opcode.go
nvidia,new,,213,nvidia/trace/reader.go
nvidia,new,,134,nvidia/trace/trace.go
akita,unchanged,github.com/sarchlab/akita/v4/analysis,167,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/analysis/buffer_analyzer.go
akita,unchanged,github.com/sarchlab/akita/v4/analysis,3,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/analysis/doc.go
akita,unchanged,github.com/sarchlab/akita/v4/analysis,211,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/analysis/perf_analyzer.go
akita,unchanged,github.com/sarchlab/akita/v4/analysis,182,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/analysis/perf_analyzer_backend.go
akita,unchanged,github.com/sarchlab/akita/v4/analysis,165,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/analysis/port_analyzer.go
akita,unchanged,github.com/sarchlab/akita/v4/datarecording,208,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/datarecording/datareader.go
akita,unchanged,github.com/sarchlab/akita/v4/datarecording,411,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/datarecording/datarecorder.go
akita,unchanged,github.com/sarchlab/akita/v4/datarecording,3,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/datarecording/doc.go
akita,unchanged,github.com/sarchlab/akita/v4/datarecording,63,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/datarecording/execrecorder.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache,126,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/directory.go
akita,unchanged,github.com/sarchlab/akita/v4/mem/cache,3,/Users/enze/go/pkg/mod/github.com/sarchlab/akita/v4@v4.7.0/mem/cache/doc.go
