suite,benchmark,non_scaling_combo,non_scaling_slug,scaling_param_name,scaling_param_value,time_ms_avg
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,500,0.025671
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,750,0.026020
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,1000,0.027169
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,1500,0.028332
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,2000,0.029294
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,3000,0.032113
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,5000,0.030456
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,7500,0.030069
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,10000,0.030322
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,15000,0.030643
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,20000,0.031873
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,30000,0.035467
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,50000,0.053201
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,75000,0.065950
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,100000,0.085194
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,150000,0.104118
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,200000,0.133732
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,300000,0.219002
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,500000,0.437660
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,750000,0.731235
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,1000000,1.030153
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,1500000,1.613420
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,2000000,2.191903
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,3000000,3.358820
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,5000000,5.726457
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,7500000,8.630508
altis,altis_cfd,"block_size=256, precision=double",block_size-256_precision-double,size,10000000,11.505570
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,500,0.027382
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,750,0.025966
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,1000,0.026340
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,1500,0.026473
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,2000,0.027903
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,3000,0.034545
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,5000,0.030722
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,7500,0.032847
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,10000,0.034546
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,15000,0.030229
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,20000,0.031098
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,30000,0.038380
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,50000,0.049726
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,75000,0.067848
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,100000,0.088160
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,150000,0.103156
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,200000,0.135535
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,300000,0.210879
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,500000,0.439370
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,750000,0.732336
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,1000000,1.023566
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,1500000,1.613761
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,2000000,2.195673
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,3000000,3.373437
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,5000000,5.713858
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,7500000,8.638803
altis,altis_cfd,"block_size=256, precision=float",block_size-256_precision-float,size,10000000,11.534406
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,500,0.036018
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,750,0.026113
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,1000,0.025804
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,1500,0.026807
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,2000,0.027714
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,3000,0.034772
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,5000,0.030016
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,7500,0.029935
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,10000,0.029842
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,15000,0.030322
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,20000,0.031966
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,30000,0.035254
altis,altis_cfd,"block_size=256, precision=half",block_size-256_precision-half,size,50000,0.049353
