profile_type,suite,benchmark,param_json,ground_truth_cycle,simulation_cycle
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""1024""}",5442,4247
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""256""}",5055,3191
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""288""}",5046,3192
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""320""}",5041,3193
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""352""}",5028,3194
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""384""}",4992,3195
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""416""}",5033,3199
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""448""}",5052,3203
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""480""}",5072,3207
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""512""}",5043,3211
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""544""}",5044,3564
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""576""}",4999,3565
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""608""}",5029,3566
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""640""}",5123,3567
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""672""}",5053,3568
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""704""}",5443,4229
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""736""}",5412,4230
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""768""}",5400,4231
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""800""}",5443,4233
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""832""}",5470,4235
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""864""}",5526,4237
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""896""}",5456,4239
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""928""}",5530,4241
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""960""}",5554,4243
ncu,microbench,emptykernel,"{""block"":""1024"",""thread"":""992""}",5528,4245
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""1024""}",28173,36503
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""256""}",21062,20087
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""288""}",21044,20088
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""320""}",21414,20089
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""352""}",20771,20090
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""384""}",21056,20091
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""416""}",21149,20095
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""448""}",21009,20099
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""480""}",21045,20103
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""512""}",20783,20107
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""544""}",21049,25580
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""576""}",21045,25581
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""608""}",21048,25582
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""640""}",21452,25583
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""672""}",21064,25584
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""704""}",26486,36485
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""736""}",26774,36486
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""768""}",27030,36487
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""800""}",27189,36489
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""832""}",27560,36491
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""864""}",27531,36493
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""896""}",27704,36495
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""928""}",27806,36497
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""960""}",27938,36499
ncu,microbench,emptykernel,"{""block"":""16384"",""thread"":""992""}",27898,36501
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""1024""}",7048,6397
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""256""}",6135,4317
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""288""}",6114,4318
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""320""}",6088,4319
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""352""}",6102,4320
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""384""}",6053,4321
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""416""}",6093,4325
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""448""}",6086,4329
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""480""}",6177,4333
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""512""}",6096,4337
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""544""}",6135,5030
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""576""}",6109,5031
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""608""}",6158,5032
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""640""}",6142,5033
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""672""}",6116,5034
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""704""}",6792,6379
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""736""}",6836,6380
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""768""}",6840,6381
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""800""}",7013,6383
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""832""}",6921,6385
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""864""}",6940,6387
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""896""}",6985,6389
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""928""}",6997,6391
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""960""}",7054,6393
ncu,microbench,emptykernel,"{""block"":""2048"",""thread"":""992""}",7049,6395
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""1024""}",52507,70909
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""256""}",38134,38109
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""288""}",38135,38110
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""320""}",38121,38111
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""352""}",37583,38112
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""384""}",38098,38113
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""416""}",38121,38117
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""448""}",38101,38121
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""480""}",38851,38125
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""512""}",37599,38129
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""544""}",38175,49062
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""576""}",38138,49063
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""608""}",38140,49064
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""640""}",38319,49065
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""672""}",38127,49066
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""704""}",48922,70891
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""736""}",49808,70892
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""768""}",50115,70893
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""800""}",50338,70895
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""832""}",50741,70897
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""864""}",51201,70899
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""896""}",51399,70901
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""928""}",52122,70903
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""960""}",51893,70905
ncu,microbench,emptykernel,"{""block"":""32768"",""thread"":""992""}",51946,70907
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""1024""}",10034,10698
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""256""}",8314,6570
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""288""}",8242,6571
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""320""}",8306,6572
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""352""}",8132,6573
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""384""}",8371,6574
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""416""}",8220,6578
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""448""}",8211,6582
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""480""}",8219,6586
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""512""}",8118,6590
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""544""}",8288,7967
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""576""}",8231,7968
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""608""}",8238,7969
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""640""}",8246,7970
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""672""}",8213,7971
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""704""}",9547,10680
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""736""}",9697,10681
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""768""}",9710,10682
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""800""}",9759,10684
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""832""}",9806,10686
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""864""}",9876,10688
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""896""}",9949,10690
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""928""}",9984,10692
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""960""}",10128,10694
ncu,microbench,emptykernel,"{""block"":""4096"",""thread"":""992""}",10170,10696
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""1024""}",101918,139722
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""256""}",73720,74154
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""288""}",72279,74155
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""320""}",72269,74156
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""352""}",71313,74157
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""384""}",73610,74158
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""416""}",72265,74162
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""448""}",72254,74166
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""480""}",72267,74170
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""512""}",72302,74174
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""544""}",72286,96031
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""576""}",72298,96032
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""608""}",72292,96033
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""640""}",72252,96034
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""672""}",72269,96035
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""704""}",94466,139704
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""736""}",94568,139705
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""768""}",96247,139706
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""800""}",96667,139708
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""832""}",97520,139710
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""864""}",98205,139712
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""896""}",98738,139714
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""928""}",99237,139716
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""960""}",99779,139718
ncu,microbench,emptykernel,"{""block"":""65536"",""thread"":""992""}",100591,139720
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""1024""}",16100,19300
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""256""}",12503,11076
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""288""}",12592,11077
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""320""}",12490,11078
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""352""}",12338,11079
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""384""}",12509,11080
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""416""}",12515,11084
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""448""}",12488,11088
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""480""}",12479,11092
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""512""}",12337,11096
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""544""}",12533,13837
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""576""}",12531,13838
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""608""}",12513,13839
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""640""}",12522,13840
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""672""}",12522,13841
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""704""}",15236,19282
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""736""}",15456,19283
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""768""}",15562,19284
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""800""}",15612,19286
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""832""}",15682,19288
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""864""}",15753,19290
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""896""}",15859,19292
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""928""}",15927,19294
ncu,microbench,emptykernel,"{""block"":""8192"",""thread"":""960""}",16142,19296
