profile_type,suite,benchmark,param_json,ground_truth_cycle,simulation_cycle
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""12"",""log2kernel"":""12""}",28998.449999999997,16885
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""13"",""log2kernel"":""12""}",31937.49,17183
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""14"",""log2kernel"":""12""}",38299.950000000004,23590
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""14"",""log2kernel"":""14""}",38376.585,23590
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""15"",""log2kernel"":""12""}",41708.16,24032
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""15"",""log2kernel"":""14""}",41729.22,24032
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""16"",""log2kernel"":""12""}",48746.295,30902
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""16"",""log2kernel"":""14""}",48729.33,30902
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""16"",""log2kernel"":""16""}",48859.200000000004,30902
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""17"",""log2kernel"":""12""}",55260.855,31824
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""17"",""log2kernel"":""14""}",55392.48,31824
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""17"",""log2kernel"":""16""}",55615.950000000004,31824
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""18"",""log2kernel"":""12""}",71453.655,40917
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""18"",""log2kernel"":""14""}",71436.105,40917
nsys,cuda-sdk,fastwalshtransform,"{""log2data"":""18"",""log2kernel"":""16""}",71419.14,40917
nsys,cuda-sdk,mergesort,"{""size"":""1024""}",14489.28,5029
nsys,cuda-sdk,mergesort,"{""size"":""114688""}",235386.45000000004,88493
nsys,cuda-sdk,mergesort,"{""size"":""131072""}",244651.67999999996,90893
nsys,cuda-sdk,mergesort,"{""size"":""16384""}",121492.21499999998,47569
nsys,cuda-sdk,mergesort,"{""size"":""2048""}",36485.28,15309
