kernel_name,problem_size,sim_time_ms
vectoradd,1024,.003425000
vectoradd,4096,.003484000
vectoradd,8192,.003544000
relu,1024,.003401000
relu,4096,.003431000
stencil2d,64x64,.028294000
stencil2d,128x128,.028689000
matrixmultiplication,64x64x64,.01497000
matrixmultiplication,128x128x128,.025923000
floydwarshall,32_nodes,.088805000
floydwarshall,64_nodes,.1909000
nbody,256_particles,.022034000
nbody,1024_particles,.073903000
nw,length=64,.056002000
nw,length=128,.12714000
fir,1024_taps16,.00412000
kmeans,pts1024_feat32_clus5,.032566000
kmeans,pts1024_feat8_clus5,.013044000
atax,48x48,.005656000
atax,64x64,.005656000
spmv_csr_scalar,1024x1024_nnz4096,.006027000
bitonicsort,1024,.143831000
bitonicsort,2048,.172536000
matrixtranspose,64x64,.004195000
fastwalshtransform,512,.028282000
fastwalshtransform,1024,.032141000
simpleconvolution,64x64_mask3,.004533000
vectoradd,2048,.003443000
stencil2d,256x256,.027678000
matrixmultiplication,256x256x256,.054676000
nw,length=192,.194182000
nw,length=256,.264253000
nbody,512_particles,.039321000
nbody,2048_particles,.143534000
matrixmultiplication,32x32x32,.009924000
matrixmultiplication,96x96x96,.020225000
relu,8192,.003461000
bitonicsort,4096,.204373000
fastwalshtransform,2048,.037099000
fastwalshtransform,4096,.043744000
atax,96x96,.005655000
atax,128x128,.005656000
simpleconvolution,64x64_mask5,.005726000
spmv_csr_scalar,1024x1024_nnz8192,.007373000
