run_id,suite,benchmark,platform,problem_size,kernel_name,iterations,avg_ms,min_ms,max_ms,stddev_ms
20260317-075319-odyssey,polybench,2DConvolution,hip,64x64,2DConvolution,10,0.0045,0.0044,0.0050,0.0002
20260317-075319-odyssey,polybench,2DConvolution,hip,128x128,2DConvolution,10,0.0046,0.0043,0.0054,0.0004
20260317-075319-odyssey,polybench,2DConvolution,hip,192x192,2DConvolution,10,0.0049,0.0043,0.0060,0.0006
20260317-075319-odyssey,polybench,2DConvolution,hip,256x256,2DConvolution,10,0.0048,0.0044,0.0062,0.0006
20260317-075319-odyssey,polybench,2DConvolution,hip,384x384,2DConvolution,10,0.0049,0.0044,0.0062,0.0006
20260317-075319-odyssey,polybench,2DConvolution,hip,512x512,2DConvolution,10,0.0055,0.0049,0.0072,0.0008
20260317-075319-odyssey,polybench,2DConvolution,hip,640x640,2DConvolution,10,0.0059,0.0054,0.0071,0.0006
20260317-075319-odyssey,polybench,2DConvolution,hip,768x768,2DConvolution,10,0.0061,0.0059,0.0065,0.0002
20260317-075319-odyssey,polybench,2DConvolution,hip,896x896,2DConvolution,10,0.0070,0.0067,0.0076,0.0003
20260317-075319-odyssey,polybench,2DConvolution,hip,1024x1024,2DConvolution,10,0.0076,0.0074,0.0077,0.0001
20260317-075319-odyssey,polybench,2DConvolution,hip,1280x1280,2DConvolution,10,0.0124,0.0119,0.0132,0.0003
20260317-075319-odyssey,polybench,2DConvolution,hip,1536x1536,2DConvolution,10,0.0158,0.0154,0.0162,0.0003
20260317-075319-odyssey,polybench,2DConvolution,hip,1792x1792,2DConvolution,10,0.0201,0.0199,0.0210,0.0003
20260317-075319-odyssey,polybench,2DConvolution,hip,2048x2048,2DConvolution,10,0.0251,0.0248,0.0258,0.0003
20260317-075319-odyssey,polybench,2DConvolution,hip,2560x2560,2DConvolution,10,0.0365,0.0362,0.0374,0.0004
20260317-075319-odyssey,polybench,2DConvolution,hip,3072x3072,2DConvolution,10,0.0486,0.0481,0.0502,0.0007
20260317-075319-odyssey,polybench,2DConvolution,hip,3584x3584,2DConvolution,10,0.0673,0.0669,0.0691,0.0007
20260317-075319-odyssey,polybench,2DConvolution,hip,4096x4096,2DConvolution,10,0.0862,0.0859,0.0871,0.0003
20260317-075319-odyssey,polybench,2mm,hip,64,2mm,10,0.0224,0.0222,0.0228,0.0002
20260317-075319-odyssey,polybench,2mm,hip,128,2mm,10,0.0394,0.0391,0.0397,0.0002
20260317-075319-odyssey,polybench,2mm,hip,192,2mm,10,0.0565,0.0558,0.0575,0.0005
20260317-075319-odyssey,polybench,2mm,hip,256,2mm,10,0.0732,0.0728,0.0739,0.0003
20260317-075319-odyssey,polybench,2mm,hip,384,2mm,10,0.1080,0.1076,0.1085,0.0003
20260317-075319-odyssey,polybench,2mm,hip,512,2mm,10,0.2205,0.1794,0.2422,0.0282
20260317-075319-odyssey,polybench,2mm,hip,640,2mm,10,0.3244,0.3208,0.3303,0.0037
20260317-075319-odyssey,polybench,2mm,hip,768,2mm,10,0.5901,0.5870,0.5926,0.0020
20260317-075319-odyssey,polybench,2mm,hip,896,2mm,10,0.8779,0.8710,0.8879,0.0064
20260317-075319-odyssey,polybench,2mm,hip,1024,2mm,10,1.5000,1.4977,1.5034,0.0020
20260317-075319-odyssey,polybench,2mm,hip,1280,2mm,10,2.5439,2.5306,2.5624,0.0095
20260317-075319-odyssey,polybench,2mm,hip,1536,2mm,10,4.3329,4.3259,4.3505,0.0073
20260317-075319-odyssey,polybench,2mm,hip,1792,2mm,10,6.2361,6.2159,6.2707,0.0158
20260317-075319-odyssey,polybench,2mm,hip,2048,2mm,10,9.2000,9.1634,9.2492,0.0264
20260317-075319-odyssey,polybench,2mm,hip,2560,2mm,10,19.0173,18.9470,19.0887,0.0427
20260317-075319-odyssey,polybench,2mm,hip,3072,2mm,10,30.6816,30.6082,30.7590,0.0485
20260317-075319-odyssey,polybench,2mm,hip,3584,2mm,10,52.3380,52.1034,52.7073,0.1840
20260317-075319-odyssey,polybench,2mm,hip,4096,2mm,10,82.4790,82.2310,82.7221,0.1929
20260317-075319-odyssey,polybench,3DConvolution,hip,32x32x32,3DConvolution,10,0.0047,0.0044,0.0066,0.0007
20260317-075319-odyssey,polybench,3DConvolution,hip,48x48x48,3DConvolution,10,0.0050,0.0047,0.0069,0.0007
20260317-075319-odyssey,polybench,3DConvolution,hip,64x64x64,3DConvolution,10,0.0064,0.0055,0.0082,0.0010
20260317-075319-odyssey,polybench,3DConvolution,hip,80x80x80,3DConvolution,10,0.0071,0.0065,0.0079,0.0005
20260317-075319-odyssey,polybench,3DConvolution,hip,96x96x96,3DConvolution,10,0.0087,0.0080,0.0096,0.0004
20260317-075319-odyssey,polybench,3DConvolution,hip,112x112x112,3DConvolution,10,0.0134,0.0130,0.0148,0.0006
20260317-075319-odyssey,polybench,3DConvolution,hip,128x128x128,3DConvolution,10,0.0185,0.0181,0.0193,0.0004
20260317-075319-odyssey,polybench,3DConvolution,hip,160x160x160,3DConvolution,10,0.0311,0.0304,0.0326,0.0006
20260317-075319-odyssey,polybench,3DConvolution,hip,192x192x192,3DConvolution,10,0.0376,0.0374,0.0378,0.0001
20260317-075319-odyssey,polybench,3DConvolution,hip,224x224x224,3DConvolution,10,0.0770,0.0770,0.0771,0.0001
20260317-075319-odyssey,polybench,3DConvolution,hip,256x256x256,3DConvolution,10,0.1145,0.1140,0.1151,0.0003
20260317-075319-odyssey,polybench,3DConvolution,hip,320x320x320,3DConvolution,10,0.2165,0.2163,0.2169,0.0002
20260317-075319-odyssey,polybench,3DConvolution,hip,384x384x384,3DConvolution,10,0.4276,0.3768,0.5024,0.0495
20260317-075319-odyssey,polybench,3DConvolution,hip,448x448x448,3DConvolution,10,0.6407,0.5895,0.6882,0.0420
20260317-075319-odyssey,polybench,3DConvolution,hip,512x512x512,3DConvolution,10,1.3298,1.2781,1.4227,0.0413
20260317-075319-odyssey,polybench,3mm,hip,64,3mm,10,0.0381,0.0377,0.0386,0.0003
20260317-075319-odyssey,polybench,3mm,hip,128,3mm,10,0.0708,0.0704,0.0720,0.0005
